Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1337     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1337     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00     1335     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00     1334     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*)
  0.00      0.00     0.00     1332     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00     1332     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00     1332     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00     1332     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00     1332     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00     1332     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00     1332     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     1332     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1332     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     1332     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00     1332     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1332     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00     1249     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_end()
  0.00      0.00     0.00     1165     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00     1013     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     1013     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      955     0.00     0.00  void std::_Destroy<std::pair<std::string, int> >(std::pair<std::string, int>*)
  0.00      0.00     0.00      890     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00      890     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)
  0.00      0.00     0.00      890     0.00     0.00  std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)
  0.00      0.00     0.00      890     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long, int)
  0.00      0.00     0.00      890     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00      890     0.00     0.00  void std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00      890     0.00     0.00  void std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.00     0.00      890     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00      888     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<std::string, int> const, int> >::new_allocator()
  0.00      0.00     0.00      888     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<std::string, int> const, int> >::~new_allocator()
  0.00      0.00     0.00      888     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::get_allocator() const
  0.00      0.00     0.00      888     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_get_Node_allocator() const
  0.00      0.00     0.00      888     0.00     0.00  std::allocator<std::pair<std::pair<std::string, int> const, int> >::allocator<std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> > >(std::allocator<std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> > > const&)
  0.00      0.00     0.00      888     0.00     0.00  std::allocator<std::pair<std::pair<std::string, int> const, int> >::~allocator()
  0.00      0.00     0.00      888     0.00     0.00  std::pair<std::pair<std::string, int> const, int>::~pair()
  0.00      0.00     0.00      888     0.00     0.00  std::pair<std::string, int>::pair(std::string const&, int const&)
  0.00      0.00     0.00      888     0.00     0.00  std::pair<std::pair<std::string, int> const, int>* std::__addressof<std::pair<std::pair<std::string, int> const, int> >(std::pair<std::pair<std::string, int> const, int>&)
  0.00      0.00     0.00      888     0.00     0.00  std::pair<std::string, int> std::make_pair<std::string, int>(std::string, int)
  0.00      0.00     0.00      655     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> >::operator*() const
  0.00      0.00     0.00      511     0.00     0.00  void std::_Construct<std::pair<std::string, int>, std::pair<std::string, int> >(std::pair<std::string, int>*, std::pair<std::string, int> const&)
  0.00      0.00     0.00      464     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_rightmost()
  0.00      0.00     0.00      446     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_begin()
  0.00      0.00     0.00      445     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> >::operator==(std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> > const&) const
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> > >::deallocate(std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*, unsigned long)
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<std::string, int> const, int> >::destroy(std::pair<std::pair<std::string, int> const, int>*)
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<std::string, int> const, int> >::construct(std::pair<std::pair<std::string, int> const, int>*, std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string, int> >::construct(std::pair<std::string, int>*, std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<std::pair<std::string, int> > >::construct<std::pair<std::string, int> >(std::allocator<std::pair<std::string, int> >&, std::pair<std::string, int>*, std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> > >::max_size() const
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<std::string, int> const, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> > const&)
  0.00      0.00     0.00      444     0.00     0.00  std::map<std::pair<std::string, int>, int, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::lower_bound(std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::map<std::pair<std::string, int>, int, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::end()
  0.00      0.00     0.00      444     0.00     0.00  std::map<std::pair<std::string, int>, int, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::insert(std::_Rb_tree_iterator<std::pair<std::pair<std::string, int> const, int> >, std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::map<std::pair<std::string, int>, int, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::operator[](std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::pair<std::pair<std::string, int> const, int>::pair(std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::pair<std::pair<std::string, int> const, int>::pair(std::pair<std::string, int> const&, int const&)
  0.00      0.00     0.00      444     0.00     0.00  std::vector<std::pair<std::string, int>, std::allocator<std::pair<std::string, int> > >::push_back(std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_get_node()
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::lower_bound(std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_create_node(std::pair<std::pair<std::string, int> const, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*, std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*, std::pair<std::string, int> const&)
  0.00      0.00     0.00      444     0.00     0.00  std::_Rb_tree<std::pair<std::string, int>, std::pair<std::pair<std::string, int> const, int>, std::_Select1st<std::pair<std::pair<std::string, int> const, int> >, std::less<std::pair<std::string, int> >, std::allocator<std::pair<std::pair<std::string, int> const, int> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::pair<std::string, int> const, int> >*)
